fn_num,fn_type,status,fn_text,matched_ref
1,,,,
2,,,,
3,,,"Susan Sontag, ""The Decay of Cinema,"" The New York Times, February 25, 1996, https://www.nytimes.com/1996/02/25/magazine/the-decay-of-cinema.html (접속일: 2025년 10월 11일).",
4,,,"Francesco Casetti, The Lumière Galaxy: Seven Key Words for the Cinema to Come, trans. Antonio Somaini (New York: Columbia University Press, 2011).",
5,,,"Casetti, The Lumière Galaxy, 41.",
6,,,"김지훈, 「시네마의 변화와 존속 ― 『뤼미에르 은하계』와 포스트-시네마 연구」, 『현대영화연구』 29, no. 1 (2023).",
7,,,"〈파란만장〉 (Night Fishing), 감독 박찬경·박찬욱 (2011).",
8,,,"유운성, 「위기의 아름다움」, 『씨네21』, 2011년 9월 29일, https://cine21.com/news/view/?mag_id=66798 (접속일: 2025년 10월 1일).",
9,,,"Jean-Louis Baudry, ""Ideological Effects of the Basic Cinematographic Apparatus,"" Film Quarterly 28, no. 2 (1974): 39.",
10,,,"Casetti, The Lumière Galaxy, 41.",
11,,,"John Belton, ""If film is dead, what is cinema?"" Screen 55, no. 4 (Winter 2014): 467. 벨튼은 다음과 같이 말한다: ""If the transformation of the cinematic apparatus outlined by Friedberg is symptomatic of the erosion of the cinema's identity, could not the relative stability of the more traditional apparatus in the theatre become the means for fixing that identity in the era of multimedia digital soup?""",
12,,,"Casetti, The Lumière Galaxy, 32–45.",
13,,,"김영리, 「스크린 쿼터제 축소 반대운동을 비판하는 사람들」, 『월간 말』, 2006년 8월호.",
14,,,"곽영진, 「스크린쿼터, 그 축소 공방의 논리 지형」, 『PAF』 46호, 2004, 80-81. 메이저 영화의 스크린 독점과 마이너 영화의 상영 기회 부재 현상을 예상했으나, 스크린쿼터제의 아주 작은 부분이라며 해당 문제를 축소한다. 본 논문은 스크린쿼터가 독과점을 강화했다는 비판의 근거로 제시한다.",
15,,,박찬욱(Park Chan-wook)과 박찬경(Park Chan-kyong) 감독이 2011년에 결성한 공동 창작 프로젝트 팀 이름.,
16,,,〈파란만장〉(2011).,
17,,,"Casetti, Lumière Galaxy, 32–45.",
18,,,"Hito Steyerl, ""In Defense of the Poor Image,"" e-flux journal 10 (November 2009).",
19,,,"Gilles Deleuze, Cinema 2: The Time-Image (University of Minnesota Press, 1989).",
20,,,"Casetti, Lumière Galaxy, 135–148.",
21,,,"김지훈, 「다큐멘터리의 확장된 디스포지티프」, 『영화연구』 78호 (2018): 386.",
22,,,"맹하경, 「""운동화만 팔다간 망할 수도"" 닌텐도·넷플릭스와 경쟁하는 나이키」, 『한국일보』, 2020년 12월 2일.",
23,,,"Casetti, Lumière Galaxy, 42.",
24,,,"Steyerl, ""In Defense of the Poor Image,"" 8.",
25,,,"Deleuze, Cinéma 2, 145.",
26,,,"Casetti, Lumière Galaxy, 14.",
27,,,"Baudry, ""Ideological Effects of the Basic Cinematographic Apparatus,"" 39.",
28,,,"유운성, 「위기의 아름다움」, 『씨네21』.",
29,,,"김지훈, 「시네마의 변화와 존속」.",
30,,,"김지훈, 「다큐멘터리의 확장된 디스포지티프」, 5–67.",
31,,,"Belton, ""If film is dead, what is cinema?"" 467.",
32,,,"기 드보르, 『스펙타클의 사회』, 이경숙 옮김 (서울: 현실문화연구, 1996).",
33,,,"이미연, 「디지털 이미지의 정치성: 히토 슈타이얼의 작품과 저작을 경유하여 기 드보르의 실천 전략을 재질문하기」 , 연세대학교 커뮤니케이션대학원 석사학위논문 (2019).",
